class,method_name,field_name,count
org.apache.derby.iapi.jdbc.BrokeredConnection,prepareStatement,NOVALUE,6
org.apache.derby.impl.sql.compile.FromVTI,getNewInstance,NOVALUE,6
org.apache.derby.client.ClientPooledConnection,&lt;init&gt;,NOVALUE,5
org.apache.derby.impl.tools.ij.ij,GetCursorStatement,NOVALUE,5
org.apache.derby.client.am.ClientConnection,&lt;init&gt;,NOVALUE,4
org.apache.derby.client.net.NetConnectionReply,parseSQLDCGRP,NOVALUE,4
org.apache.derby.drda.NetServlet,doGet,NOVALUE,4
org.apache.derby.iapi.types.DataTypeDescriptor,&lt;init&gt;,typeId,4
org.apache.derby.iapi.types.SQLBinary,substring,NOVALUE,4
org.apache.derby.iapi.types.SQLChar,substring,NOVALUE,4
org.apache.derby.impl.sql.catalog.SYSCONGLOMERATESRowFactory,makeRow,NOVALUE,4
org.apache.derby.impl.sql.catalog.SYSCONSTRAINTSRowFactory,buildDescriptor,NOVALUE,4
org.apache.derby.impl.tools.ij.Main,mainCore,NOVALUE,4
org.apache.derby.impl.tools.ij.mtGrammar,ReInit,NOVALUE,4
org.apache.derby.impl.tools.planexporter.AccessDatabase,createXMLData,NOVALUE,4
org.apache.derbyBuild.GeneratorBase,&lt;init&gt;,NOVALUE,4
org.apache.derbyBuild.ODBCMetadataGenerator,&lt;init&gt;,NOVALUE,4
org.apache.derby.catalog.types.RowMultiSetImpl,&lt;init&gt;,NOVALUE,3
org.apache.derby.catalog.types.TypeDescriptorImpl,equals,NOVALUE,3
org.apache.derby.catalog.types.TypeDescriptorImpl,&lt;init&gt;,typeId,3
org.apache.derby.client.net.ClientJDBCObjectFactoryImpl,newNetConnection,NOVALUE,3
org.apache.derby.client.net.NetConnection,&lt;init&gt;,NOVALUE,3
org.apache.derby.client.net.NetConnectionReply,parseSQLCNGRP,NOVALUE,3
org.apache.derby.client.net.NetConnectionReply,parseSQLDIAGSTT,NOVALUE,3
org.apache.derby.client.net.NetStatementReply,parsePKGNAMCSN,NOVALUE,3
org.apache.derby.iapi.jdbc.BrokeredConnection,createStatement,NOVALUE,3
org.apache.derby.iapi.sql.dictionary.RoutinePermsDescriptor,&lt;init&gt;,NOVALUE,3
org.apache.derby.iapi.sql.dictionary.TablePermsDescriptor,&lt;init&gt;,NOVALUE,3
org.apache.derby.iapi.types.HarmonySerialBlob,setBytes,NOVALUE,3
org.apache.derby.iapi.types.HarmonySerialClob,&lt;init&gt;,NOVALUE,3
org.apache.derby.iapi.types.SQLBoolean,truthValue,BOOLEAN_FALSE,3
org.apache.derby.iapi.types.SQLBoolean,truthValue,BOOLEAN_TRUE,3
org.apache.derby.iapi.util.ByteArray,setBytes,array,3
org.apache.derby.impl.drda.DDMReader,readString,pos,3
org.apache.derby.impl.drda.DRDAConnThread,parseEXCSQLSTT,NOVALUE,3
org.apache.derby.impl.jdbc.UpdatableBlobStream,&lt;init&gt;,NOVALUE,3
org.apache.derby.impl.jdbc.authentication.NativeAuthenticationServiceImpl,authenticateLocally,NOVALUE,3
org.apache.derby.impl.load.ColumnInfo,&lt;init&gt;,NOVALUE,3
org.apache.derby.impl.load.Import,performImport,NOVALUE,3
org.apache.derby.impl.services.locks.Timeout,dumpLock,NOVALUE,3
org.apache.derby.impl.sql.compile.BinaryOperatorNode,init,leftOperand,3
org.apache.derby.impl.sql.compile.BinaryOperatorNode,init,rightOperand,3
org.apache.derby.impl.sql.compile.PrivilegeNode,init,objectName,3
org.apache.derby.impl.store.access.sort.MergeInserter,insert,NOVALUE,3
org.apache.derby.impl.store.raw.data.FileContainer,readHeaderFromArray,NOVALUE,3
org.apache.derby.impl.store.raw.data.FileContainer,newPage,NOVALUE,3
org.apache.derby.impl.store.raw.data.RAFContainer4,awaitRestoreChannel,threadsInPageIO,3
org.apache.derby.impl.store.raw.log.LogToFile,readControlFile,NOVALUE,3
org.apache.derby.impl.store.raw.log.LogToFile,recover,NOVALUE,3
org.apache.derby.impl.store.raw.log.LogToFile,switchLogFile,NOVALUE,3
org.apache.derby.impl.tools.dblook.DB_Jar,doJars,NOVALUE,3
org.apache.derby.impl.tools.ij.ij,ExecuteStatement,NOVALUE,3
org.apache.derby.impl.tools.ij.xaHelper,setDataSourceProperty,NOVALUE,3
org.apache.derbyBuild.JiraConnector,getXMLStreamAndFile,NOVALUE,3
org.apache.derbyBuild.JiraIssue,createJiraIssueList,NOVALUE,3
org.apache.derbyBuild.ReleaseNotesTransformer,readFileIntoString,NOVALUE,3
org.apache.derbyBuild.classlister,run,NOVALUE,3
org.apache.derbyBuild.eclipse.DerbyEclipsePlugin,createTmpFiles,NOVALUE,3
org.osgi.framework.Version,&lt;init&gt;,NOVALUE,3
org.apache.derby.catalog.SystemProcedures,SYSCS_BULK_INSERT,NOVALUE,2
org.apache.derby.client.ClientPooledConnection,&lt;init&gt;,logWriter_,2
org.apache.derby.client.am.ClientClob,&lt;init&gt;,NOVALUE,2
org.apache.derby.client.am.ClientConnection,getCurrentSchemaName,NOVALUE,2
org.apache.derby.client.am.ClientPreparedStatement,&lt;init&gt;,NOVALUE,2
org.apache.derby.client.am.ClientPreparedStatement,&lt;init&gt;,pooledConnection_,2
org.apache.derby.client.am.ClientStatement,initStatement,resultSetConcurrency_,2
org.apache.derby.client.am.ClientStatement,initStatement,resultSetHoldability_,2
org.apache.derby.client.am.ClientStatement,initStatement,resultSetType_,2
org.apache.derby.client.am.ColumnMetaData,&lt;init&gt;,logWriter_,2
org.apache.derby.client.am.EncryptionManager,&lt;init&gt;,NOVALUE,2
org.apache.derby.client.am.EncryptionManager,&lt;init&gt;,agent_,2
org.apache.derby.client.am.UpdateSensitiveClobLocatorReader,&lt;init&gt;,NOVALUE,2
org.apache.derby.client.am.UpdateSensitiveLOBLocatorInputStream,&lt;init&gt;,NOVALUE,2
org.apache.derby.client.net.NaiveTrustManager,getSocketFactory,NOVALUE,2
org.apache.derby.client.net.NetCursor,parseSQLDCGRP,NOVALUE,2
org.apache.derby.client.net.NetStatementReply,parseSQLRSGRP,NOVALUE,2
org.apache.derby.client.net.Reply,decryptData,NOVALUE,2
org.apache.derby.client.net.Typdef,&lt;init&gt;,NOVALUE,2
org.apache.derby.diag.ContainedRoles,&lt;init&gt;,NOVALUE,2
org.apache.derby.diag.ErrorLogReader,&lt;init&gt;,NOVALUE,2
org.apache.derby.diag.StatementDuration,&lt;init&gt;,NOVALUE,2
org.apache.derby.drda.NetServlet,getIntParameter,NOVALUE,2
org.apache.derby.drda.NetServlet,runServer,NOVALUE,2
org.apache.derby.iapi.services.cache.ClassSize,fetchRefSizeFromSystemProperties,NOVALUE,2
org.apache.derby.iapi.services.info.ProductVersionHolder,loadProperties,NOVALUE,2
org.apache.derby.iapi.services.property.PropertyUtil,isDBOnly,NOVALUE,2
org.apache.derby.iapi.sql.dictionary.ColPermsDescriptor,&lt;init&gt;,NOVALUE,2
org.apache.derby.iapi.sql.dictionary.ColumnDescriptor,&lt;init&gt;,columnDefault,2
org.apache.derby.iapi.sql.dictionary.ColumnDescriptor,&lt;init&gt;,columnType,2
org.apache.derby.iapi.sql.dictionary.SPSDescriptor,&lt;init&gt;,NOVALUE,2
org.apache.derby.iapi.sql.dictionary.StatementRolePermission,check,NOVALUE,2
org.apache.derby.iapi.store.access.RowUtil,toString,NOVALUE,2
org.apache.derby.iapi.store.access.xa.XAXactId,&lt;init&gt;,NOVALUE,2
org.apache.derby.iapi.tools.i18n.LocalizedResource,getInstance,local,2
org.apache.derby.iapi.types.ClobStreamHeaderGenerator,generateInto,FALSE,2
org.apache.derby.iapi.types.HarmonySerialBlob,getBytes,NOVALUE,2
org.apache.derby.iapi.types.HarmonySerialClob,getSubString,NOVALUE,2
org.apache.derby.iapi.types.Like,like,NOVALUE,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,BIGINT_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,BIT_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,BLOB_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,CLOB_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,DATE_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,DECIMAL_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,DOUBLE_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,LONGVARBIT_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,LONGVARCHAR_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,NUMERIC_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,REAL_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,TIMESTAMP_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,TIME_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,TINYINT_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,VARBIT_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,VARCHAR_ID,2
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,XML_ID,2
org.apache.derby.impl.drda.DDMReader,readDSSContinuationHeader,dssLength,2
org.apache.derby.impl.drda.DDMReader,readDssHeader,pos,2
org.apache.derby.impl.drda.DDMWriter,endDss,previousChainByte,2
org.apache.derby.impl.drda.DRDAConnThread,parseCLSQRY,NOVALUE,2
org.apache.derby.impl.drda.DRDAConnThread,parseCNTQRY,NOVALUE,2
org.apache.derby.impl.drda.DRDAConnThread,parseOPNQRY,NOVALUE,2
org.apache.derby.impl.drda.DRDAConnThread,writeRDBfailure,NOVALUE,2
org.apache.derby.impl.drda.NaiveTrustManager,getSocketFactory,NOVALUE,2
org.apache.derby.impl.drda.NetworkServerControlImpl,processCommands,NOVALUE,2
org.apache.derby.impl.drda.NetworkServerControlImpl,pingWithNoOpen,NOVALUE,2
org.apache.derby.impl.drda.NetworkServerControlImpl,getNetSysInfo,NOVALUE,2
org.apache.derby.impl.drda.NetworkServerControlImpl,buildRuntimeInfo,NOVALUE,2
org.apache.derby.impl.jdbc.ClobUpdatableReader,read,pos,2
org.apache.derby.impl.jdbc.EmbedBlob,getBytes,NOVALUE,2
org.apache.derby.impl.jdbc.EmbedBlob,position,NOVALUE,2
org.apache.derby.impl.jdbc.EmbedCallableStatement,getObject,NOVALUE,2
org.apache.derby.impl.jdbc.EmbedClob,getSubString,NOVALUE,2
org.apache.derby.impl.jdbc.EmbedClob,position,NOVALUE,2
org.apache.derby.impl.jdbc.EmbedClob,setString,NOVALUE,2
org.apache.derby.impl.jdbc.EmbedConnection,&lt;init&gt;,applicationConnection,2
org.apache.derby.impl.jdbc.EmbedResultSet,adjustScale,NOVALUE,2
org.apache.derby.impl.jdbc.TemporaryClob,copyClobContent,cachedCharLength,2
org.apache.derby.impl.load.ColumnInfo,getExpectedVtiColumnTypes,NOVALUE,2
org.apache.derby.impl.load.Import,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.services.bytecode.BCMethod,describeMethod,NOVALUE,2
org.apache.derby.impl.services.bytecode.d_BCValidate,checkMethod,NOVALUE,2
org.apache.derby.impl.services.jce.JCECipherFactory,changeBootPassword,NOVALUE,2
org.apache.derby.impl.sql.catalog.DataDictionaryImpl,getNonCoreTIByNumber,NOVALUE,2
org.apache.derby.impl.sql.catalog.SYSCOLUMNSRowFactory,makeRow,NOVALUE,2
org.apache.derby.impl.sql.catalog.SYSSTATISTICSRowFactory,buildDescriptor,NOVALUE,2
org.apache.derby.impl.sql.catalog.SYSTABLESRowFactory,makeRow,NOVALUE,2
org.apache.derby.impl.sql.compile.BinaryComparisonOperatorNode,bindComparisonOperator,NOVALUE,2
org.apache.derby.impl.sql.compile.BinaryComparisonOperatorNode,bindExpression,NOVALUE,2
org.apache.derby.impl.sql.compile.BinaryRelationalOperatorNode,getColumnOperand,leftOperand,2
org.apache.derby.impl.sql.compile.BinaryRelationalOperatorNode,getColumnOperand,rightOperand,2
org.apache.derby.impl.sql.compile.CastNode,getCastFromNumericType,NOVALUE,2
org.apache.derby.impl.sql.compile.CastNode,init,castOperand,2
org.apache.derby.impl.sql.compile.CastNode,bindExpression,NOVALUE,2
org.apache.derby.impl.sql.compile.CharConstantNode,init,NOVALUE,2
org.apache.derby.impl.sql.compile.ColumnReference,init,tableName,2
org.apache.derby.impl.sql.compile.CreateIndexNode,bindStatement,NOVALUE,2
org.apache.derby.impl.sql.compile.CreateTableNode,init,properties,2
org.apache.derby.impl.sql.compile.CreateTableNode,init,tableElementList,2
org.apache.derby.impl.sql.compile.DDLStatementNode,checkTableDescriptor,NOVALUE,2
org.apache.derby.impl.sql.compile.DMLModStatementNode,generateFKInfo,NOVALUE,2
org.apache.derby.impl.sql.compile.FromBaseTable,init,resultColumns,2
org.apache.derby.impl.sql.compile.LikeEscapeOperatorNode,bindExpression,NOVALUE,2
org.apache.derby.impl.sql.compile.MethodCallNode,throwNoMethodFound,NOVALUE,2
org.apache.derby.impl.sql.compile.NumericTypeCompiler,getScale,NOVALUE,2
org.apache.derby.impl.sql.compile.OptimizerTracer,unloadTool,NOVALUE,2
org.apache.derby.impl.sql.compile.ReplaceAggregatesWithCRVisitor,&lt;init&gt;,rcl,2
org.apache.derby.impl.sql.compile.ResultColumn,init,reference,2
org.apache.derby.impl.sql.compile.SQLParserTokenManager,NOVALUE,debugStream,2
org.apache.derby.impl.sql.compile.SelectNode,genProjectRestrict,NOVALUE,2
org.apache.derby.impl.sql.compile.SubqueryNode,changeToCorrespondingExpressionType,NOVALUE,2
org.apache.derby.impl.sql.compile.SubqueryNode,pushNewPredicate,NOVALUE,2
org.apache.derby.impl.sql.compile.UnaryComparisonOperatorNode,getColumnOperand,operand,2
org.apache.derby.impl.sql.compile.UnaryOperatorNode,init,operand,2
org.apache.derby.impl.sql.compile.WindowResultSetNode,addNewPRNode,NOVALUE,2
org.apache.derby.impl.sql.execute.DMLWriteResultSet,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.sql.execute.DependentResultSet,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.sql.execute.RealResultSetStatisticsFactory,getResultSetStatistics,NOVALUE,2
org.apache.derby.impl.sql.execute.SetRoleConstantAction,executeConstantAction,NOVALUE,2
org.apache.derby.impl.sql.execute.xplain.XPLAINUtil,extractSortProps,NOVALUE,2
org.apache.derby.impl.store.access.PropertyConglomerate,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.store.access.RAMTransaction,openCompiledScan,NOVALUE,2
org.apache.derby.impl.store.access.btree.BTreeScan,reposition,NOVALUE,2
org.apache.derby.impl.store.access.btree.ControlRow,compareRowsOnSiblings,NOVALUE,2
org.apache.derby.impl.store.access.btree.OpenBTree,checkConsistency,NOVALUE,2
org.apache.derby.impl.store.access.btree.index.B2IRowLocking3,lockRowOnPage,NOVALUE,2
org.apache.derby.impl.store.access.conglomerate.GenericConglomerateController,fetch,NOVALUE,2
org.apache.derby.impl.store.access.heap.Heap,open,NOVALUE,2
org.apache.derby.impl.store.access.heap.Heap,purgeConglomerate,NOVALUE,2
org.apache.derby.impl.store.raw.data.AllocExtent,toDebugString,NOVALUE,2
org.apache.derby.impl.store.raw.data.AllocPage,WriteContainerInfo,NOVALUE,2
org.apache.derby.impl.store.raw.data.FileContainer,createInfoFromLog,NOVALUE,2
org.apache.derby.impl.store.raw.data.RAFContainer4,readPage,threadsInPageIO,2
org.apache.derby.impl.store.raw.data.RAFContainer4,recoverContainerAfterInterrupt,threadsInPageIO,2
org.apache.derby.impl.store.raw.data.RAFContainer4,writePage,threadsInPageIO,2
org.apache.derby.impl.store.raw.data.RecordId,&lt;init&gt;,pageId,2
org.apache.derby.impl.store.raw.log.LogToFile,backupLogFiles,logFileToBackup,2
org.apache.derby.impl.store.raw.log.Scan,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.store.replication.slave.SlaveController,boot,NOVALUE,2
org.apache.derby.impl.tools.dblook.DB_Alias,doSynonyms,NOVALUE,2
org.apache.derby.impl.tools.dblook.DB_Index,doIndexes,NOVALUE,2
org.apache.derby.impl.tools.dblook.DB_Jar,doCopy,NOVALUE,2
org.apache.derby.impl.tools.dblook.DB_Schema,doSchemas,NOVALUE,2
org.apache.derby.impl.tools.dblook.DB_Sequence,doSequences,NOVALUE,2
org.apache.derby.impl.tools.dblook.DB_Table,reinstateAutoIncrement,NOVALUE,2
org.apache.derby.impl.tools.dblook.DB_View,doViews,NOVALUE,2
org.apache.derby.impl.tools.ij.SimpleCharStream,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.tools.ij.SimpleCharStream,ReInit,NOVALUE,2
org.apache.derby.impl.tools.ij.URLCheck,getBooleanAttributes,booleanAttributes,2
org.apache.derby.impl.tools.ij.ij,PrepareStatement,NOVALUE,2
org.apache.derby.impl.tools.ij.ij,showIndexes,NOVALUE,2
org.apache.derby.impl.tools.ij.ij,showEnabledRoles,NOVALUE,2
org.apache.derby.impl.tools.ij.ij,showRoles,NOVALUE,2
org.apache.derby.impl.tools.ij.ij,showSettableRoles,NOVALUE,2
org.apache.derby.impl.tools.ij.ijResultSetResult,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.tools.ij.ijResultSetResult,&lt;init&gt;,resultSet,2
org.apache.derby.impl.tools.ij.ijTokenManager,NOVALUE,debugStream,2
org.apache.derby.impl.tools.ij.mtGrammar,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.tools.ij.mtGrammarTokenManager,ReInit,NOVALUE,2
org.apache.derby.impl.tools.ij.mtGrammarTokenManager,NOVALUE,debugStream,2
org.apache.derby.impl.tools.ij.utilMain,runScriptGuts,NOVALUE,2
org.apache.derby.impl.tools.optional.DBMDWrapper,getDummyValue,NOVALUE,2
org.apache.derby.impl.tools.planexporter.AccessDatabase,&lt;init&gt;,NOVALUE,2
org.apache.derby.impl.tools.planexporter.AccessDatabase,noOfNodes,NOVALUE,2
org.apache.derby.impl.tools.planexporter.AccessDatabase,statement,NOVALUE,2
org.apache.derby.impl.tools.planexporter.AccessDatabase,time,NOVALUE,2
org.apache.derby.jdbc.EmbeddedBaseDataSource,equals,NOVALUE,2
org.apache.derby.shared.common.i18n.MessageUtil,formatMessage,NOVALUE,2
org.apache.derby.tools.JDBCDisplayUtil,DisplayNextRow,NOVALUE,2
org.apache.derby.tools.JDBCDisplayUtil,indent_DisplayNextRow,NOVALUE,2
org.apache.derbyBuild.ClassSizeCrawler,main,NOVALUE,2
org.apache.derbyBuild.ClassSizeCrawler,crawl,NOVALUE,2
org.apache.derbyBuild.ReleaseNoteReader,main,NOVALUE,2
org.apache.derbyBuild.ReleaseNotesTransformer,normalizeText,NOVALUE,2
org.apache.derbyBuild.classlister,findDependencies,NOVALUE,2
org.apache.derbyBuild.eclipse.DerbyEclipsePlugin,getProps,NOVALUE,2
org.apache.derbyPreBuild.ReleaseProperties,execute,NOVALUE,2
java.sql.Date,NOVALUE,NOVALUE,1
java.sql.Date,toString,NOVALUE,1
java.sql.DriverPropertyInfo,NOVALUE,choices,1
java.sql.DriverPropertyInfo,NOVALUE,description,1
java.sql.DriverPropertyInfo,NOVALUE,required,1
java.sql.DriverPropertyInfo,NOVALUE,value,1
java.sql.DriverPropertyInfo,NOVALUE,name,1
java.sql.Time,toString,NOVALUE,1
java.sql.Timestamp,compareTo,NOVALUE,1
java.sql.Timestamp,equals,NOVALUE,1
java.sql.Timestamp,toString,NOVALUE,1
javax.sql.rowset.serial.SerialArray,NOVALUE,NOVALUE,1
javax.sql.rowset.serial.SerialBlob,NOVALUE,NOVALUE,1
javax.sql.rowset.serial.SerialClob,NOVALUE,NOVALUE,1
javax.sql.rowset.serial.SerialDatalink,NOVALUE,NOVALUE,1
javax.sql.rowset.serial.SerialJavaObject,NOVALUE,NOVALUE,1
javax.sql.rowset.serial.SerialRef,NOVALUE,NOVALUE,1
javax.sql.rowset.serial.SerialStruct,NOVALUE,NOVALUE,1
org.apache.derby.catalog.GetProcedureColumns,&lt;init&gt;,procedure,1
org.apache.derby.catalog.GetProcedureColumns,NOVALUE,isProcedure,1
org.apache.derby.catalog.SystemProcedures,SYSCS_SET_XPLAIN_SCHEMA,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,RAND,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,SYSCS_GET_USER_ACCESS,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,SYSCS_SET_USER_ACCESS,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,SYSCS_COMPRESS_TABLE,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,SYSCS_DROP_STATISTICS,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,SYSCS_INPLACE_COMPRESS_TABLE,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,SYSCS_UPDATE_STATISTICS,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,createXplainSchema,NOVALUE,1
org.apache.derby.catalog.SystemProcedures,createXplainTable,NOVALUE,1
org.apache.derby.catalog.TriggerOldTransitionRows,&lt;init&gt;,NOVALUE,1
org.apache.derby.catalog.types.AggregateAliasInfo,readExternal,NOVALUE,1
org.apache.derby.catalog.types.BaseTypeIdImpl,toParsableString,NOVALUE,1
org.apache.derby.catalog.types.DefaultInfoImpl,getDefaultValue,defaultValue,1
org.apache.derby.catalog.types.DefaultInfoImpl,&lt;init&gt;,defaultValue,1
org.apache.derby.catalog.types.DefaultInfoImpl,setDefaultValue,defaultValue,1
org.apache.derby.catalog.types.OldRoutineType,NOVALUE,NOVALUE,1
org.apache.derby.catalog.types.RoutineAliasInfo,toString,NOVALUE,1
org.apache.derby.catalog.types.RowMultiSetImpl,equals,NOVALUE,1
org.apache.derby.catalog.types.TypeDescriptorImpl,getTypeId,typeId,1
org.apache.derby.catalog.types.UDTAliasInfo,readExternal,NOVALUE,1
org.apache.derby.catalog.types.UserDefinedTypeIdImpl,&lt;init&gt;,NOVALUE,1
org.apache.derby.catalog.types.UserDefinedTypeIdImpl,equals,NOVALUE,1
org.apache.derby.client.ClientPooledConnection,getConnection,logicalConnection_,1
org.apache.derby.client.ClientXAConnection,&lt;init&gt;,NOVALUE,1
org.apache.derby.client.ClientXAConnection,getConnection,logicalCon_,1
org.apache.derby.client.ClientXAConnection,getXAResource,xares_,1
org.apache.derby.client.ClientXAConnection,NOVALUE,controlCon_,1
org.apache.derby.client.am.Agent,disableBatchedExceptionTracking,enableBatchedExceptionTracking_,1
org.apache.derby.client.am.Agent,enableBatchedExceptionTracking,batchedExceptionLabelIndex_,1
org.apache.derby.client.am.Agent,enableBatchedExceptionTracking,enableBatchedExceptionTracking_,1
org.apache.derby.client.am.Agent,resetAgent,batchedExceptionLabelIndex_,1
org.apache.derby.client.am.Agent,resetAgent,enableBatchedExceptionTracking_,1
org.apache.derby.client.am.Agent,setBatchedExceptionLabelIndex,batchedExceptionLabelIndex_,1
org.apache.derby.client.am.Agent,accumulateReadException,accumulatedReadExceptions_,1
org.apache.derby.client.am.Agent,NOVALUE,logWriter_,1
org.apache.derby.client.am.BlobLocatorInputStream,&lt;init&gt;,NOVALUE,1
org.apache.derby.client.am.BlobLocatorOutputStream,&lt;init&gt;,NOVALUE,1
org.apache.derby.client.am.BlobOutputStream,&lt;init&gt;,NOVALUE,1
org.apache.derby.client.am.ByteArrayCombinerStream,&lt;init&gt;,NOVALUE,1
org.apache.derby.client.am.ClientBlob,&lt;init&gt;,binaryString_,1
org.apache.derby.client.am.ClientCallableStatement,initCallableStatement,wasNull_,1
org.apache.derby.client.am.ClientCallableStatement,reset,wasNull_,1
org.apache.derby.client.am.ClientCallableStatement,setWasNull,wasNull_,1
org.apache.derby.client.am.ClientCallableStatement,getArray,NOVALUE,1
org.apache.derby.client.am.ClientCallableStatement,getRef,NOVALUE,1
org.apache.derby.client.am.ClientCallableStatement,NOVALUE,materialCallableStatement_,1
org.apache.derby.client.am.ClientCallableStatement42,setObject,NOVALUE,1
org.apache.derby.client.am.ClientClob,getUtf8String,utf8String_,1
org.apache.derby.client.am.ClientConnection,completeLocalCommit,transactionID_,1
org.apache.derby.client.am.ClientConnection,completeLocalRollback,transactionID_,1
org.apache.derby.client.am.ClientConnection,beginAborting,aborting_,1
org.apache.derby.client.am.ClientConnection,clearWarningsX,accumulated440ForMessageProcFailure_,1
org.apache.derby.client.am.ClientConnection,clearWarningsX,accumulated444ForMessageProcFailure_,1
org.apache.derby.client.am.ClientConnection,completeChainBreakingDisconnect,open_,1
org.apache.derby.client.am.ClientConnection,completeConnect,open_,1
org.apache.derby.client.am.ClientConnection,completeInitialPiggyBackIsolation,defaultIsolation,1
org.apache.derby.client.am.ClientConnection,completeInitialPiggyBackIsolation,isolation_,1
org.apache.derby.client.am.ClientConnection,completeLocalCommit,inUnitOfWork_,1
org.apache.derby.client.am.ClientConnection,completeLocalRollback,inUnitOfWork_,1
org.apache.derby.client.am.ClientConnection,completePiggyBackIsolation,isolation_,1
org.apache.derby.client.am.ClientConnection,completeReset,open_,1
org.apache.derby.client.am.ClientConnection,completeSpecificRollback,inUnitOfWork_,1
org.apache.derby.client.am.ClientConnection,completeTransactionStart,inUnitOfWork_,1
org.apache.derby.client.am.ClientConnection,getTransactionIsolationX,autoCommit_,1
org.apache.derby.client.am.ClientConnection,getTransactionIsolationX,inUnitOfWork_,1
org.apache.derby.client.am.ClientConnection,getTransactionIsolationX,isolation_,1
org.apache.derby.client.am.ClientConnection,markClosed,inUnitOfWork_,1
org.apache.derby.client.am.ClientConnection,markClosed,open_,1
org.apache.derby.client.am.ClientConnection,resetConnection,autoCommit_,1
org.apache.derby.client.am.ClientConnection,resetConnection,holdability,1
org.apache.derby.client.am.ClientConnection,resetConnection,inUnitOfWork_,1
org.apache.derby.client.am.ClientConnection,setXAState,xaState_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,availableForReuse_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,xaState_,1
org.apache.derby.client.am.ClientConnection,setTypeMap,NOVALUE,1
org.apache.derby.client.am.ClientConnection,NOVALUE,agent_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,autoCommit_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,dataSource_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,databaseMetaData_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,databaseName_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,portNumber_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,resetConnectionAtFirstSql_,1
org.apache.derby.client.am.ClientConnection,NOVALUE,serverNameIP_,1
org.apache.derby.client.am.ClientConnection,getAutoCommit,NOVALUE,1
org.apache.derby.client.am.ClientConnection,getCatalog,NOVALUE,1
org.apache.derby.client.am.ClientConnection,getHoldability,NOVALUE,1
org.apache.derby.client.am.ClientConnection,getTransactionIsolation,NOVALUE,1
org.apache.derby.client.am.ClientConnection,getTypeMap,NOVALUE,1
org.apache.derby.client.am.ClientConnection,abort,NOVALUE,1
org.apache.derby.client.am.ClientDatabaseMetaData,getConnection,connection_,1
org.apache.derby.client.am.ClientParameterMetaData,&lt;init&gt;,columnMetaData_,1
org.apache.derby.client.am.ClientPreparedStatement,completeLocalCommit,listenToUnitOfWork_,1
org.apache.derby.client.am.ClientPreparedStatement,completeLocalRollback,listenToUnitOfWork_,1
org.apache.derby.client.am.ClientPreparedStatement,initPreparedStatement,outputRegistered_,1
org.apache.derby.client.am.ClientPreparedStatement,initResetPreparedStatement,outputRegistered_,1
org.apache.derby.client.am.ClientPreparedStatement,completeDescribeInput,parameterMetaData_,1
org.apache.derby.client.am.ClientPreparedStatement,completeDescribeOutput,resultSetMetaData_,1
